video_id,comment_id,author,text,like_count,published_at,updated_at,is_reply,parent_id
jBjLLYvzi6c,UgwYzlRXCMScmYt5GAN4AaABAg,@AddisynPerla-wf7kp,kk,0,2026-01-08T02:21:52Z,2026-01-08T02:21:52Z,False,
jBjLLYvzi6c,Ugxck7gzDICFXnRK8Cp4AaABAg,@khuehoangminh6571,2:57:26 đoạn này đếm xem Doran ăn bn hit trụ 🤣🤣🤣,1,2025-12-06T07:26:30Z,2025-12-06T07:26:30Z,False,
jBjLLYvzi6c,UgzjqzXg1zCdAACtAL54AaABAg,@memuipim,2:26:05 anh già làm pha này đúng tes khỏi gỡ luôn:),0,2025-12-01T09:25:05Z,2025-12-01T09:25:05Z,False,
jBjLLYvzi6c,UgykmbPyq2ivyn72xzd4AaABAg,@cáttường-r7u,"Trích lời vị Đại Hãn nào đó từng nói rằng : ""5 Chinese can't win"" 🤣🤣🤣",0,2025-11-16T15:47:05Z,2025-11-16T15:47:05Z,False,
jBjLLYvzi6c,Ugz4xNiPlCYIc9qozmB4AaABAg,@thuhươngđặng-h9g,1:23:12 bóng lưng kinh điển vch,1,2025-11-11T10:16:57Z,2025-11-11T10:16:57Z,False,
jBjLLYvzi6c,Ugz4xNiPlCYIc9qozmB4AaABAg.APNuV_LEdZoAPaNOCS71DV,@cáttường-r7u,"Bóng lưng 12,13năm rồi, vẫn như thế. Đúng là kinh điển",0,2025-11-16T15:48:13Z,2025-11-16T15:48:13Z,True,Ugz4xNiPlCYIc9qozmB4AaABAg
jBjLLYvzi6c,Ugy3E88oh-C8VqRIAjp4AaABAg,@TrươngThiênNhẫn-b2h,Ngày mấy ck mn,0,2025-11-08T18:07:52Z,2025-11-08T18:07:52Z,False,
jBjLLYvzi6c,Ugz0ZFu3byluwaBM5cF4AaABAg,@SonNam-un4mj,ok,0,2025-11-08T00:37:14Z,2025-11-08T00:37:14Z,False,
jBjLLYvzi6c,Ugz93wStnMKJB_HSURF4AaABAg,@layvu8382,Này thì nhá logo trước mr F,0,2025-11-07T15:12:07Z,2025-11-07T15:12:07Z,False,
jBjLLYvzi6c,UgzgiUOjb3EZMB3kWwl4AaABAg,@caubaobao2970,Thích nhất cái khúc lúc chưa đánh đã thấy vị vua ngồi giữa màn hình ạ,1,2025-11-07T06:48:44Z,2025-11-07T06:48:44Z,False,
jBjLLYvzi6c,Ugx7MYWVayDGHRcgAC54AaABAg,@dotruong6359,Cứng như AL còn bị nắc bởi đứa test tướng bọn Tes này chịu sao nổi,0,2025-11-07T05:20:01Z,2025-11-07T05:20:01Z,False,
jBjLLYvzi6c,UgxinLU69Vqf-ggeT3Z4AaABAg,@zenki7721,Đẳng cấp T đỏ,0,2025-11-06T10:04:57Z,2025-11-06T10:04:57Z,False,
jBjLLYvzi6c,UgyKWvDL4BBQwLFr6sx4AaABAg,@thanhthai28102,Và đó là hai nhà mạng Hàn Quốc gặp nhau ở trận chung kết,1,2025-11-05T21:53:14Z,2025-11-05T21:53:14Z,False,
jBjLLYvzi6c,UgyU0ps2zavnlNIeFQV4AaABAg,@VannghĩaMai-j9g,Cần chi hạt giống số 1 làm gì😂,0,2025-11-05T02:23:10Z,2025-11-05T02:23:10Z,False,
jBjLLYvzi6c,UgyCM0j6Ea3x_ic8k1p4AaABAg,@TấnNguyễn-g2c8j,Hài vãi mấy đội chơi yếu hơn vào chung kết,0,2025-11-04T12:12:43Z,2025-11-04T12:12:43Z,False,
jBjLLYvzi6c,UgyY7tB7wSldU-ISTAl4AaABAg,@manar2537,"Miễn ko phải gen cc vào ck là tui vui r, ai vô địch cũng dc😂",0,2025-11-04T11:56:20Z,2025-11-04T11:56:20Z,False,
jBjLLYvzi6c,UgzZQPTDqaTM9c9W80R4AaABAg,@nguyenvan-iv8hx,"Liên minh giờ Hàn Quốc thống trị quá sắp thành game 1 nước rồi 
Chắc năm tới  vô địch TQ bắt đầu suy giảm",0,2025-11-04T00:28:33Z,2025-11-04T00:28:33Z,False,
jBjLLYvzi6c,UgwqWEcxiCHvJmghhi54AaABAg,@Phats_Lee,Cũng là cái góc đó mà AL phải về nước,0,2025-11-03T19:03:15Z,2025-11-03T19:03:15Z,False,
jBjLLYvzi6c,UgwpYdZJAGOJ9d9d28x4AaABAg,@QuangkietTran-p4b,Tội nghiệp  A shanks tóc đỏ wa,0,2025-11-03T17:41:36Z,2025-11-03T17:41:36Z,False,
jBjLLYvzi6c,UgzzECR6kWbHvYxH15R4AaABAg,@idolhuan9308,t,0,2025-11-03T16:17:24Z,2025-11-03T16:17:24Z,False,
jBjLLYvzi6c,Ugy5Ys4gwzjRwRIn65p4AaABAg,@giodaumuaselanh,Bình luận chiều vcl.,0,2025-11-03T15:54:29Z,2025-11-03T15:54:29Z,False,
jBjLLYvzi6c,UgxcxyDBi6gib1nQzON4AaABAg,@miunguyet5784,Đưa hai cha này bl chán hơn mấy a kia,0,2025-11-03T15:34:01Z,2025-11-03T15:34:01Z,False,
jBjLLYvzi6c,UgyfJ2XQgywQUokUslZ4AaABAg,@miunguyet5784,Bl đọc tên sai miết khó chịu ghê,0,2025-11-03T15:32:27Z,2025-11-03T15:32:27Z,False,
jBjLLYvzi6c,Ugz426TvdC3ARuUm7RZ4AaABAg,@E.Natsu.D,Có khi cái meme Faker 80 tuổi đang đánh CKTG lần thứ 5x gì đấy xong tăng xông thành hiện thực quá :))),4,2025-11-03T14:36:48Z,2025-11-03T14:36:48Z,False,
jBjLLYvzi6c,Ugy-erPpRdrVUl-4KCB4AaABAg,@E.Natsu.D,sắp thành game 1  nước rồi :))),0,2025-11-03T14:31:41Z,2025-11-03T14:31:41Z,False,
jBjLLYvzi6c,Ugx7Amp04dgbHIjjM9B4AaABAg,@kinghtvlog1438,❤️❤️❤️❤️,0,2025-11-03T13:50:25Z,2025-11-03T13:50:25Z,False,
jBjLLYvzi6c,UgzEWRAvigYH6Sw4v1x4AaABAg,@hiennguyen-du5pe,.,0,2025-11-03T13:28:45Z,2025-11-03T13:28:45Z,False,
jBjLLYvzi6c,UgzehHxP6B-m4W5JdCN4AaABAg,@lehuyens2,"vào giao tranh 2 ông bình luận gào như 2 tay ngáo, đọc chả ai nghe gì luôn, loạn cả lên",0,2025-11-03T13:02:27Z,2025-11-03T13:02:27Z,False,
jBjLLYvzi6c,UgzjEm7LwpXWKZt8cxt4AaABAg,@hieunguyenminh1558,39:14 xin in4 anh em oiiiiiiiiiiii,0,2025-11-03T10:13:30Z,2025-11-03T10:13:30Z,False,
jBjLLYvzi6c,Ugz76S3yJE_Tvf3l54N4AaABAg,@anhtrungminix-vj3se,nổ hũ 😆 😄,0,2025-11-03T09:11:47Z,2025-11-03T09:11:47Z,False,
jBjLLYvzi6c,UgxpvcQ-2KoDokdGceJ4AaABAg,@anhtrungminix-vj3se,2 : 31 : 30 😍😄,0,2025-11-03T08:49:43Z,2025-11-03T08:49:43Z,False,
jBjLLYvzi6c,UgyPvCXNBSTWg3EowP14AaABAg,@nguyenxiao9462,hãy cho doran skin 😂,0,2025-11-03T06:58:28Z,2025-11-03T06:58:28Z,False,
jBjLLYvzi6c,UgxIk_eT3GOUBcmVn-l4AaABAg,@minhvuong6546,Gumagusi tới thoii xong rồi 😂😂,0,2025-11-03T06:52:29Z,2025-11-03T06:52:29Z,False,
jBjLLYvzi6c,UgxyQs5irXgsyYQFKgh4AaABAg,@Béune1410,.,0,2025-11-03T05:34:42Z,2025-11-03T05:34:42Z,False,
jBjLLYvzi6c,UgwY3F6yCCLJ-UGRkZd4AaABAg,@intro69420,"seed 3,4 đánh như này seed 1,2 đánh như nào 🐧",0,2025-11-03T05:01:09Z,2025-11-03T05:01:09Z,False,
jBjLLYvzi6c,UgwY3F6yCCLJ-UGRkZd4AaABAg.AP2k-YU7BPTAP3UvVla_iE,@xiaoxun6399,Đốn như lành 😢,0,2025-11-03T11:59:53Z,2025-11-03T11:59:53Z,True,UgwY3F6yCCLJ-UGRkZd4AaABAg
jBjLLYvzi6c,Ugxn_BreEoaADDKvYHV4AaABAg,@MasterQuy88,hay,0,2025-11-03T04:44:01Z,2025-11-03T04:44:01Z,False,
jBjLLYvzi6c,UgwZeVm9882BX6vwL4V4AaABAg,@bestyivietnam,Chiếc cúp thứ 6 dành cho em tôi Faker huyền thoại bất tử ,1,2025-11-03T04:16:28Z,2025-11-03T04:16:28Z,False,
jBjLLYvzi6c,Ugx6c-1rZdd3NLrgHJN4AaABAg,@binhgiatminh,sau năm nay thì thôi nhé. So gi faker vs Chovy nữa. Chovy quá yếu đuối và thiếu bản lĩnh. Mãi mãi ở vị trí đó thôi.,0,2025-11-03T03:35:19Z,2025-11-03T03:35:19Z,False,
jBjLLYvzi6c,UgxSH-qo-FsVRxtzkox4AaABAg,@MixedAnimeHD,G2 vô địch  😎! Xin chúc mừng các T con nha 👍👍,0,2025-11-03T03:32:18Z,2025-11-03T03:32:18Z,False,
jBjLLYvzi6c,UgxiukuITWEiHGgAVl94AaABAg,@duythanh7993,Tes giống GAM,0,2025-11-03T02:53:18Z,2025-11-03T02:53:18Z,False,
jBjLLYvzi6c,Ugzl-rN4SJFUJl4bBXp4AaABAg,@chaunguyen8898,Quái vật vcl,0,2025-11-03T02:49:18Z,2025-11-03T02:49:18Z,False,
jBjLLYvzi6c,UgzLjtOq-lpwGzN3y8R4AaABAg,@vualion9304,Gen con lặn mất tăm 😂😂😂 quá đã,0,2025-11-03T02:43:36Z,2025-11-03T02:43:36Z,False,
jBjLLYvzi6c,UgzS4-AGahaB1CD2FE14AaABAg,@haiangphung797,Galio của faker và gailo của Chovy 😂😂,0,2025-11-03T02:35:37Z,2025-11-03T02:35:37Z,False,
jBjLLYvzi6c,Ugz7z-qHcPKTvhsLzrd4AaABAg,@ToanVu-p8k,Blv huy Đức❤❤,0,2025-11-03T01:31:22Z,2025-11-03T01:31:22Z,False,
jBjLLYvzi6c,UgyIzWq_jkizOsejLRV4AaABAg,@tongtran1545,Năm nay vẫn như năm ngoái GenG lại chovy mid top 1 thế giới,0,2025-11-03T01:29:41Z,2025-11-03T01:29:41Z,False,
jBjLLYvzi6c,UgylIbrba28f4kYKBBp4AaABAg,@LongBui-up9el,Hình như cuối ván 2 feker tay em ấy bị sao ấy,0,2025-11-03T00:28:06Z,2025-11-03T00:28:06Z,False,
jBjLLYvzi6c,Ugy3pm4XAER_T3J_BrF4AaABAg,@LongTrần-b6o9p,Ko có fan gencon. Cm sạch hẳn,0,2025-11-03T00:21:30Z,2025-11-03T00:21:30Z,False,
jBjLLYvzi6c,UgxJEqM6j0jV-vyv2lZ4AaABAg,@ngeov-vlogs6315,Fây cơ . Đọc cứ fach cơ,0,2025-11-03T00:16:54Z,2025-11-03T00:16:54Z,False,
jBjLLYvzi6c,Ugzz9h23hED5YMu0gqJ4AaABAg,@oanang3394,năm nay nếu Fake lên ngôi thì mong là sẽ có skin Galio a nợ Galio 1 skin rất lâu r,0,2025-11-02T23:17:57Z,2025-11-02T23:17:57Z,False,
jBjLLYvzi6c,UgwtD2Ml_WeUQLcR1up4AaABAg,@cuongcandy1989,nếu KT vô địch thì cũng sứng đáng vì KT đã làm rất tốt,2,2025-11-02T20:31:41Z,2025-11-02T20:31:41Z,False,
jBjLLYvzi6c,UgyR4iK4ZDVACVel7rp4AaABAg,@thanhmai1042,Fan TES tăng đột biến được 2h thôi là chạy sang KT hết🤣,4,2025-11-02T18:29:56Z,2025-11-02T18:29:56Z,False,
jBjLLYvzi6c,UgwayKRj1rPs_jKO_Ed4AaABAg,@TúCaotuấn-b7x,.,0,2025-11-02T18:05:28Z,2025-11-02T18:05:28Z,False,
jBjLLYvzi6c,Ugy_noAVShjMOOS76Bh4AaABAg,@honglanhdiep8691,i,0,2025-11-02T18:01:14Z,2025-11-02T18:01:14Z,False,
jBjLLYvzi6c,UgwGJKL7cbOBC5S5eSF4AaABAg,@racingboyhanoi,rồng gió ko có tác dụng nhiều thì mua giày làm j,0,2025-11-02T17:58:37Z,2025-11-02T17:58:37Z,False,
jBjLLYvzi6c,Ugy0y8BARuPNr6swTWt4AaABAg,@ngocanh6690,Tui nữ 35 tuổi vẫn coi nè... ido Fake lắm❤❤❤,4,2025-11-02T17:44:19Z,2025-11-02T17:44:19Z,False,
jBjLLYvzi6c,Ugy0y8BARuPNr6swTWt4AaABAg.AP1XYHwX8YFAP1kLJ8QkkH,@JackiePham88,😂36 đây,0,2025-11-02T19:44:52Z,2025-11-02T19:44:52Z,True,Ugy0y8BARuPNr6swTWt4AaABAg
jBjLLYvzi6c,Ugy0y8BARuPNr6swTWt4AaABAg.AP1XYHwX8YFAP2ATxC5J1N,@giangduong7664,thế thì viết đúng tên idol vào nha b,0,2025-11-02T23:41:59Z,2025-11-02T23:41:59Z,True,Ugy0y8BARuPNr6swTWt4AaABAg
jBjLLYvzi6c,Ugy0y8BARuPNr6swTWt4AaABAg.AP1XYHwX8YFAP2G2lTDe5n,@BMW..o.x7,​@giangduong7664kkkk dám gọi a già hàng phết,0,2025-11-03T00:30:42Z,2025-11-03T00:30:42Z,True,Ugy0y8BARuPNr6swTWt4AaABAg
jBjLLYvzi6c,Ugy0y8BARuPNr6swTWt4AaABAg.AP1XYHwX8YFAP2Xxa0hGHU,@dailyreview4679,mình cưới nhau đi,0,2025-11-03T03:07:09Z,2025-11-03T03:07:09Z,True,Ugy0y8BARuPNr6swTWt4AaABAg
jBjLLYvzi6c,UgymcxFKp4Z6p4YGDIF4AaABAg,@thatvu_n,"Doran kiểu "" Bố mày có rẻ k""😂",22,2025-11-02T17:22:31Z,2025-11-02T17:22:31Z,False,
jBjLLYvzi6c,Ugz7OkOcSNYiH2rinW54AaABAg,@hieuc5036,lần đầu ck dell cs seed 1 seed 2,0,2025-11-02T17:21:39Z,2025-11-02T17:21:39Z,False,
jBjLLYvzi6c,UgyyqlqzsMNYJjMe_2B4AaABAg,@808RC4L,last hope lpl thuần nằm ngửa,0,2025-11-02T17:21:19Z,2025-11-02T17:21:19Z,False,
jBjLLYvzi6c,UgxpvMBJbA-copSau6Z4AaABAg,@BaoNee,"Seed 1,2 ngồi màn hình coi seed 3,4 đánh không là sao :)))",9,2025-11-02T17:19:03Z,2025-11-02T17:19:03Z,False,
