video_id,comment_id,author,text,like_count,published_at,updated_at,is_reply,parent_id
7hRNlFSekmU,UgyPnjPls-xPyUlJGvx4AaABAg,@HuyMai-c1y,Chắc hàng hồ cẩm đào  😂,1,2026-02-01T11:48:04Z,2026-02-01T11:48:04Z,False,
7hRNlFSekmU,UgyPnjPls-xPyUlJGvx4AaABAg.ASgD6hZVRMlASgORJAFZdz,@QuocAnhHoang-s5c,K biết cứ bi ba bi bô😅,0,2026-02-01T13:27:00Z,2026-02-01T13:27:00Z,True,UgyPnjPls-xPyUlJGvx4AaABAg
7hRNlFSekmU,UgxdtGUjswxDw38PljB4AaABAg,@Dat.vanhuy,bạn nghĩ sao về vụ s25plus bị cháy viên pin ?,0,2026-02-01T07:47:27Z,2026-02-01T07:47:27Z,False,
7hRNlFSekmU,Ugy4MUAAxoCUbhQ96Qx4AaABAg,@BinĐoan-w5u,"hơn 6 củ nên mua redmi note 13 pro plus ko anh em chỉ chơi game liên quân ,pubg mong a tư vấn",0,2026-01-31T22:18:57Z,2026-01-31T22:18:57Z,False,
7hRNlFSekmU,UgyDmi9CwdGgoQSchLd4AaABAg,@uctruongle000,"em dg xài máy chính là mi15T, em còn là hs tết này định để dành tiền mua máy phụ khoảng 5-6tr gì đó nhu cầu em pin trâu hiệu năng ổn tí, e k chơi mấy game quá nặng , nên mua iqoo 10 tb hay ráng lên z10 tb pro v anh em thấy z10 tb chơi game pin tụt nhanh nên em hơi phân vân, mong anh tư vấn",0,2026-01-31T20:31:09Z,2026-01-31T20:31:09Z,False,
7hRNlFSekmU,UgwJ3angzAyHpbv_yvh4AaABAg,@VũDuyLong-91,Có s24ultra ko shop,1,2026-01-31T14:12:56Z,2026-01-31T14:12:56Z,False,
7hRNlFSekmU,UgwzLKTM_ZvDQwvrJE54AaABAg,@longnguyenthien8027,Mua online bằng cách nào,1,2026-01-31T10:33:23Z,2026-01-31T10:33:23Z,False,
7hRNlFSekmU,Ugy50Hv0pPZiutdc1y94AaABAg,@khaivuongxuan9206,Cho em hỏi mua điện thoại online qua shopee thì có những rủi ro gì không ạ.,0,2026-01-31T06:36:37Z,2026-01-31T06:36:37Z,False,
7hRNlFSekmU,UgzbT3S_tzxnXurhcvx4AaABAg,@TungAnhNguyen-ke9jj,"iPhone cũ
😊",1,2026-01-31T06:28:31Z,2026-01-31T06:28:31Z,False,
7hRNlFSekmU,UgxPMF68VZbJTHfgO8h4AaABAg,@hiêutrương-p1c,A 56 mua 6tr là quá ok,1,2026-01-31T06:04:23Z,2026-01-31T06:04:23Z,False,
7hRNlFSekmU,UgzA513zGtKcegMWKuR4AaABAg,@ThànhYTmusic,Oppo đi abhhhhhhhhh,0,2026-01-31T00:20:19Z,2026-01-31T00:20:19Z,False,
7hRNlFSekmU,UgxWUdokTFhxarjRY9J4AaABAg,@hnchgy,"Cho em hỏi con iqoo z10x hiện tại còn ngon không anh và con nào có thể thay thế ngon hơn trong cùng tầm giá không ạ ,em chủ yếu chơi game ff ,liên quân ,mine(mong anh giải đáp)❤❤",1,2026-01-30T15:44:18Z,2026-01-30T15:44:18Z,False,
7hRNlFSekmU,UgxWUdokTFhxarjRY9J4AaABAg.ASbUZAUmk_WASbsZKBHicN,@nvt5063,Mua z9 turbo cũ bao ngon,0,2026-01-30T19:22:47Z,2026-01-30T19:22:47Z,True,UgxWUdokTFhxarjRY9J4AaABAg
