video_id,title,channel_title,published_at,description
12uI_hj1KsA,Thanh lý điện thoại giá rẻ. Ngày 1/2. Lh 0396734914. Không cọc. Kèm phụ kiện. Có bảo hành. Mien ship,dienthoaicumientrung,2026-02-01T10:55:46Z,"Điện thoại thiên phong Chuyên mua bán các dòng điện thoại cũ giá rẻ Lh : 0396734914 Địa chỉ: 77 lý thường kiệt p7, tp tuy hoà, ..."
7hRNlFSekmU,"Cập Nhật Giá Điện Thoại Samsung 2026 - Galaxy A36, A56 Giảm Giá Không Phanh!",F.A CHANNEL,2026-01-30T12:55:45Z,TOP ĐIỆN THOẠI ĐÁNG MUA NHẤT Dưới 2 Triệu: ⁃ Nubia A36: https://s.shopee.vn/BLXEwltX0 ⁃ Nubia A76: ...
3ygQkdlbEfc,"Thanh Lý Samsung S20 Plus Ram 12G Giá 1,2Tr | Nhiều ĐT - Laptop Giá Rẻ | S24 Ultra - Note 20 Ultra",Adam Mobile,2026-01-31T04:00:06Z,adammobile #smartphone #thegioididongcu #metub #metubnetwork Adam mobile ĐC: 41/342 Khương Đình - P. Hạ Đình - Thanh ...
hX276PdfCu4,Top 5 điện thoại giá rẻ vừa ra mắt đầu năm: Nhiều máy ngon bất ngờ !!!,ĐAM MÊ CÔNG NGHỆ,2026-01-11T11:20:01Z,"AE FOLLOW FACEBOOK NAM BÉO GIAO LƯU NHÉ: https://www.facebook.com/share/17YvpWAvf8/ MUA ĐIỆN THOẠI GIÁ RẺ, ..."
5Xv93YUNBlI,TOP ĐIỆN THOẠI GIÁ RẺ TẠI THẾ GIỚI DI ĐỘNG | Cập nhật ngày 25/1/2026,Quyen GBox,2026-01-25T10:50:01Z,Cập nhật giá & cấu hình mới nhất hôm nay – anh chị xem kỹ trước khi mua để tránh mua hớ nha! Giá và link mua uy tín tại đây: ...
MuOrOwuzYvM,"HĐCN: ĐT GIÁ RẺ MÀN HÌNH SIÊU ĐẸP, PIN KHỦNG, LOA TO, CHIẾN GAME MƯỢT !!!",ĐAM MÊ CÔNG NGHỆ,2026-01-31T13:17:05Z,AE FOLLOW FACEBOOK NAM BÉO GIAO LƯU NHÉ: https://www.facebook.com/share/17YvpWAvf8/ 00:00 Giới thiệu 00:24 Nhân ...
j_TjrIEBJxA,Điện thoại giá rẻ mua Xiaomi hay Samsung?,Dương Dê,2025-08-12T03:41:14Z,Điện thoại giá rẻ mua Xiaomi hay Samsung? Redmi 13 : https://hoanghamobile.com/dien-thoai/xiaomi-redmi-13-6gb-128gb ...
PW2IuAQZxrs,"Ngày 30/01/26 Điện Thoại Mới Cũ Giá Rẻ Thủ Dầu Một, Bình Dương 0963.595.262|| TT1985 Review",TT1985 Review,2026-01-30T05:00:06Z,MUA DT GIÁ RẺ VÀI TRĂM NGÀN Ở ĐÂY : https://www.youtube.com/channel/UCTQ_bTQVNLU1IZXl-quEC0g #TT1985Review ...
cZ4iwr-Ker4,"Nghịch lý: Điện thoại giá rẻ thì SIÊU BỀN, Flagship thì dễ vỡ?",Dương Dê,2026-01-16T10:06:34Z,"Nghịch lý: Điện thoại giá rẻ thì SIÊU BỀN, Flagship thì dễ vỡ? Tham khảo tại CellphoneS ..."
ogzKs204b-E,"Giảm mạnh thanh lý 600k không cọc điện thoại giá rẻ iphone samsung OPPO xiaomi vivo cấu hình cao,,, ",điện thoại bình dân,2026-01-23T07:49:36Z,"chúc mọi người xem video vui vẻ lh 03920,44464 hoặc Zalo chuyên mua bán trao đổi điện thoại cũ mới giá rẻ thanh lý chính ..."
